Cruise ID,UTC Time,Latitude DegMin,Longitude DegMin,Latitude Deg,Longitude Deg,Station,Pressure,Depth,Temperature,Salinity,Sigma-t,Oxygen Concentration MG,Chlorophyll Fluorescence ,Beam Transmission,Oxygen Concentration MG Titration,Chlorophyll Concentration,Phaeopigment Concentration
,,[deg min],[deg min],[deg],[deg],,[db],[m],[deg C],,[kg/m^3],[mg/l],[mg/m^3],[%],[mg/l],[ug/l],[ug/l]
,,,,,,,CTD,CTD,CTD,CTD,CTD,CTD,CTD,CTD,Lab,Lab,Lab
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,2.73,2.71,9.95,31.32,24.09,5.27,1.57,95.09,5.97,0.50,0.16
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,5.05,5.01,9.92,31.38,24.14,5.15,1.62,95.23,5.83,0.57,0.14
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,9.76,9.68,9.88,31.43,24.18,5.12,1.73,95.35,5.76,0.75,0.11
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,20.29,20.11,9.74,31.52,24.28,4.99,1.63,95.42,5.61,0.54,0.13
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,30.37,30.11,9.69,31.55,24.31,4.93,1.46,95.56,5.48,0.46,0.13
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,30.44,30.18,9.68,31.55,24.31,4.91,1.59,95.60,,,
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,50.54,50.11,9.46,31.73,24.49,4.67,1.18,95.93,5.22,0.34,0.12
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,80.89,80.20,9.04,32.15,24.88,4.18,0.95,94.78,4.70,,
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,111.74,110.77,8.71,32.40,25.13,3.81,0.74,94.08,4.25,,
 TN270,Oct 13 2011 15:53:34,48 14.52 N,123 13.5 W,48.242,-123.225,P23,144.99,143.72,8.30,32.82,25.52,3.35,0.58,91.95,3.79,,
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,2.86,2.83,10.11,30.90,23.73,5.53,1.41,94.75,6.18,0.47,0.11
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,4.84,4.80,10.11,30.91,23.74,5.45,1.38,94.77,6.12,0.47,0.15
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,10.68,10.59,10.01,31.00,23.83,5.14,1.23,94.81,5.81,0.45,0.14
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,21.13,20.95,9.77,31.26,24.07,4.90,0.92,95.48,5.51,0.34,0.12
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,30.71,30.45,9.62,31.52,24.30,4.77,1.02,95.92,5.34,0.33,0.11
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,31.07,30.80,9.62,31.52,24.29,4.81,1.02,95.92,,,
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,51.07,50.64,9.08,31.90,24.68,4.23,0.68,95.79,4.75,0.23,0.11
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,82.99,82.27,8.52,32.69,25.38,3.62,0.60,96.08,4.06,,
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,110.91,109.95,8.39,32.72,25.43,3.47,0.60,95.28,3.92,,
 TN270,Oct 13 2011 17:42:55,48 12.72 N,123 27.6 W,48.212,-123.460,P136,127.35,126.24,8.00,33.10,25.79,3.01,0.53,94.05,3.40,,
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,4.18,4.15,10.04,31.23,24.01,5.61,1.91,96.05,6.34,0.71,0.12
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,4.86,4.82,10.03,31.23,24.00,5.59,1.92,96.04,6.30,0.81,0.13
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,10.51,10.42,10.04,31.44,24.16,5.27,1.39,96.27,5.95,0.59,0.21
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,20.36,20.19,10.06,31.56,24.26,5.18,1.38,96.46,5.87,0.47,0.09
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,30.86,30.59,10.08,31.63,24.31,5.16,1.23,96.73,,,
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,31.09,30.82,10.08,31.64,24.32,5.17,1.05,96.73,5.92,0.39,0.08
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,53.29,52.84,9.51,31.85,24.57,4.63,0.75,96.74,5.24,0.23,0.09
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,83.78,83.06,9.05,32.21,24.93,4.24,0.64,97.57,4.91,,
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,118.36,117.33,7.91,33.36,26.00,2.69,0.54,95.76,3.06,,
 TN270,Oct 13 2011 19:36:12,48 14.58 N,123 43.86 W,48.243,-123.731,P133,165.45,163.99,7.47,33.69,26.32,2.11,0.49,91.87,,,
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,4.39,4.35,11.21,31.33,23.88,6.68,2.69,96.27,7.53,1.77,0.20
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,5.00,4.96,11.21,31.33,23.88,6.66,2.61,96.41,7.53,1.16,0.14
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,10.31,10.22,10.88,31.49,24.07,6.14,1.57,97.48,6.95,0.58,0.17
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,20.60,20.42,10.41,31.58,24.21,5.58,1.36,97.72,6.28,0.39,0.12
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,30.35,30.09,10.08,31.66,24.33,5.21,1.15,97.71,,,
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,30.38,30.12,10.08,31.66,24.33,5.21,1.19,97.75,5.89,0.34,0.19
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,51.39,50.95,9.38,31.95,24.67,4.52,0.68,97.75,5.09,0.14,0.07
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,81.90,81.19,8.50,32.69,25.39,3.70,0.52,97.42,4.23,,
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,121.66,120.60,7.69,33.56,26.19,2.40,0.48,95.68,2.73,,
 TN270,Oct 13 2011 21:14:23,48 16.32 N,123 59.04 W,48.272,-123.984,P132,183.63,182.01,7.38,33.74,26.37,2.00,0.51,91.39,2.25,,
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,3.64,3.61,9.92,31.19,23.99,5.40,1.49,96.10,6.16,,
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,5.28,5.24,9.92,31.15,23.96,5.59,1.95,96.16,6.09,0.54,0.14
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,10.13,10.04,9.85,31.24,24.04,5.20,1.30,96.06,5.83,0.41,0.08
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,19.90,19.74,9.76,31.25,24.07,5.04,1.29,96.11,5.72,0.47,0.13
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,30.46,30.20,9.78,31.46,24.23,4.95,1.06,96.50,5.48,0.27,0.09
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,50.76,50.32,9.52,31.68,24.44,4.66,0.86,96.93,,,
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,50.98,50.55,9.52,31.68,24.44,4.63,0.80,96.98,5.28,0.21,0.03
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,81.86,81.16,8.59,32.54,25.26,3.79,0.60,96.41,4.26,,
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,111.72,110.75,7.82,33.44,26.07,2.63,0.51,95.46,2.99,,
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,151.20,149.87,7.37,33.75,26.38,1.96,0.52,92.63,2.25,,
 TN270,Oct 13 2011 22:19:12,48 17.88 N,124 6.0 W,48.298,-124.100,P131,193.08,191.37,7.37,33.75,26.38,1.96,0.51,91.61,2.23,,
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,3.09,3.06,9.93,31.05,23.88,5.82,1.36,95.84,6.60,0.86,0.20
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,5.35,5.30,9.96,31.06,23.89,5.82,1.62,95.80,6.58,0.88,0.15
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,10.18,10.10,10.05,31.10,23.90,5.73,1.63,96.09,6.48,1.01,0.21
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,20.53,20.35,9.95,31.21,24.00,5.24,1.22,96.40,5.90,0.47,0.11
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,30.33,30.08,9.84,31.36,24.14,4.99,1.02,96.60,5.68,0.22,0.05
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,50.68,50.24,9.57,31.71,24.45,4.73,0.75,97.11,5.32,0.17,0.05
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,50.95,50.51,9.57,31.71,24.46,4.72,0.68,97.15,,,
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,80.99,80.30,8.66,32.51,25.23,3.78,0.55,96.81,4.22,,
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,121.34,120.28,7.66,33.59,26.22,2.45,0.49,95.25,2.78,,
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,171.72,170.20,7.28,33.79,26.43,1.86,0.52,91.76,2.09,,
 TN270,Oct 13 2011 23:41:08,48 21.12 N,124 16.14 W,48.352,-124.269,P128,219.06,217.10,7.28,33.79,26.43,1.85,0.55,90.66,2.08,,
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,3.65,3.62,13.61,31.01,23.19,7.34,1.27,95.17,8.31,1.08,0.15
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,4.84,4.80,13.61,31.01,23.18,7.34,1.39,95.06,8.30,0.87,0.14
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,10.21,10.12,13.58,31.07,23.23,7.29,1.58,95.49,8.93,1.11,0.22
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,19.93,19.76,13.09,31.28,23.50,7.09,1.64,97.18,8.05,0.73,0.05
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,30.16,29.90,12.52,31.50,23.77,6.90,1.52,97.59,8.07,0.62,0.09
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,50.47,50.03,9.92,31.33,24.10,5.06,1.08,96.92,5.80,0.28,0.10
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,50.62,50.19,9.90,31.33,24.10,5.10,0.95,96.83,,,
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,80.38,79.68,9.11,32.19,24.90,4.09,0.74,97.08,4.46,,
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,121.24,120.18,7.65,33.65,26.27,2.51,0.48,95.33,2.87,,
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,171.76,170.24,7.33,33.78,26.41,1.91,0.45,93.96,2.17,,
 TN270,Oct 14 2011 01:02:53,48 23.76 N,124 25.74 W,48.396,-124.429,P123,227.73,225.68,7.27,33.80,26.44,1.86,0.55,90.54,2.13,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,3.07,3.05,14.07,31.86,23.75,7.46,1.33,96.90,8.79,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,3.15,3.12,14.07,31.86,23.75,7.45,1.38,97.00,8.73,0.58,0.15
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,3.42,3.39,14.07,31.86,23.75,7.45,1.44,97.07,8.81,0.48,0.13
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,4.96,4.92,14.08,31.86,23.75,7.45,1.37,97.13,8.72,0.58,0.14
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,10.22,10.14,14.07,31.86,23.75,7.44,1.36,97.00,8.55,0.57,0.13
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,20.47,20.30,13.97,31.87,23.77,7.34,1.32,97.85,8.55,0.22,0.03
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,30.73,30.46,12.10,32.33,24.50,6.82,0.74,99.09,7.99,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,40.23,39.89,9.38,32.69,25.25,5.71,0.61,99.07,6.80,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,49.32,48.90,8.88,32.92,25.51,4.87,0.60,98.37,5.64,0.09,0.06
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,49.46,49.04,8.79,32.94,25.54,4.83,0.56,98.47,,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,59.77,59.26,8.20,33.12,25.77,3.95,0.48,98.17,4.99,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,61.40,60.87,8.11,33.22,25.86,3.95,0.48,98.66,,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,81.20,80.50,7.84,33.48,26.11,3.48,0.48,91.74,3.86,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,81.39,80.69,7.84,33.48,26.11,3.45,0.50,92.46,,,
 TN270,Oct 14 2011 06:32:59,47 58.14 N,124 56.94 W,47.969,-124.949,P381,95.03,94.21,7.81,33.55,26.17,2.98,0.51,87.38,3.62,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,3.42,3.39,13.96,31.87,23.78,7.42,0.91,98.51,,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,3.43,3.40,13.96,31.87,23.78,7.41,0.98,98.51,8.65,0.31,0.13
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,3.54,3.52,13.96,31.87,23.78,7.41,0.98,98.50,,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,3.66,3.63,13.96,31.87,23.78,7.41,1.06,98.55,8.29,0.29,0.23
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,4.31,4.27,13.96,31.87,23.78,7.42,1.00,98.52,8.47,0.28,0.06
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,10.66,10.57,13.96,31.87,23.78,7.41,1.11,98.54,8.33,0.25,0.05
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,19.75,19.59,13.97,31.87,23.78,7.39,1.12,98.57,8.28,0.28,0.06
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,30.24,29.98,13.55,32.26,24.16,7.23,0.90,98.92,7.88,0.21,0.02
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,40.20,39.86,11.35,32.57,24.82,6.42,0.82,99.13,7.15,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,50.01,49.58,8.96,32.84,25.43,4.92,0.62,98.63,5.81,0.08,0.07
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,50.46,50.03,8.94,32.88,25.47,4.93,0.59,98.67,,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,60.19,59.68,8.07,33.28,25.92,3.78,0.56,93.77,4.48,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,60.42,59.91,8.07,33.28,25.92,3.78,0.58,93.84,,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,80.39,79.70,7.84,33.47,26.10,3.55,0.48,94.83,4.14,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,80.58,79.89,7.84,33.46,26.09,3.53,0.48,94.97,,,
 TN270,Oct 14 2011 11:02:34,47 58.08 N,124 57.06 W,47.968,-124.951,P381,96.09,95.26,7.80,33.59,26.19,2.73,0.53,86.47,3.25,,
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,2.89,2.87,13.85,30.80,22.97,7.48,2.25,91.61,8.91,1.21,0.34
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,5.12,5.08,13.81,30.90,23.06,7.41,2.10,92.78,8.75,1.12,0.30
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,10.19,10.11,13.74,31.05,23.19,7.28,2.15,93.63,8.58,0.68,0.19
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,20.32,20.14,13.06,31.34,23.55,6.73,1.41,94.84,8.01,1.01,0.22
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,30.23,29.97,12.92,31.37,23.60,6.66,1.33,94.50,7.96,0.54,0.16
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,50.37,49.94,11.89,31.59,23.96,6.16,1.05,96.82,,,
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,50.91,50.47,11.75,31.62,24.02,6.16,0.92,96.95,7.29,0.43,0.11
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,81.10,80.40,8.25,33.21,25.84,3.21,0.51,96.44,3.82,,
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,121.46,120.40,7.75,33.58,26.20,2.39,0.49,94.25,2.88,,
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,170.58,169.07,7.51,33.73,26.35,2.15,0.54,94.57,2.51,,
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,231.88,229.80,7.21,33.85,26.49,1.85,0.48,91.76,2.10,,
 TN270,Oct 14 2011 14:18:03,48 27.96 N,124 46.26 W,48.466,-124.771,P120,273.96,271.47,7.20,33.85,26.49,1.84,0.52,88.97,2.04,,
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,3.03,3.01,9.97,30.60,23.53,5.32,1.08,94.63,6.30,0.45,0.17
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,5.15,5.11,9.96,30.60,23.53,5.35,1.07,94.53,6.27,0.45,0.15
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,10.09,10.00,9.92,30.62,23.54,5.28,0.97,94.38,6.20,0.89,
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,20.06,19.89,9.91,30.65,23.57,5.23,1.05,94.12,6.03,0.37,0.19
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,30.18,29.92,9.82,30.82,23.72,5.10,0.99,94.76,,,
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,30.21,29.95,9.82,30.81,23.71,5.10,1.03,94.73,5.91,0.31,0.17
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,50.22,49.79,9.67,31.10,23.96,4.88,0.96,94.84,,0.31,0.13
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,80.86,80.16,9.50,31.63,24.40,4.61,0.80,95.34,4.99,,
 TN270,Oct 15 2011 01:53:56,48 23.94 N,123 0.6 W,48.399,-123.010,P25,122.40,121.33,8.93,32.24,24.97,4.02,0.77,90.19,4.45,,
