record no,CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LATITUDE_DEG,LONGITUDE_DEG,LATITUDE_DEC,LONGITUDE_DEC,STATION_NO,NISKIN_NO,NISKIN_NO_FLAG_W,CTDPRS_DBAR,DEPTH (M),CTDTMP_DEG_C_ITS90,CTDTMP2_DEC_C_ITS90,CTDTMP_FLAG_W,CTD/TEMP_COMMENTS,CTDSAL_PSS78,CTDSAL2_PSS78,CTDSAL_FLAG,CTD/SAL_COMMENTS,SIGMATHETA_KG_M3,SIGMATHETA2_KG_M3,CTDOXY_MG_L_1,CTDOXY_MG_L_2,CTDOXY_MG_L_AVG,CTDOXY_FLAG,CTD/O2_COMMENTS,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_avg_mg_L,OXYGEN_UMOL_KG,OXYGEN_FLAG_W,OXYGEN COMMENTS,CTD_PH_NBS,SALINITY_PSS78_1,SALINITY_PSS78_2,SALINITY_FLAG,Nutrient lab temperature,NITRATE_UMOL_L,NITRITE_UMOL_L,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_L,SILICATE_UMOL_L,NUTRIENTS_FLAG_W,CTD FLU (mg/m3),CHLA (ug/l),CHLA 2 (ug/l),CHLA avg (ug/l),CHLA_FLAG,PHAEOPIGMENT (ug/l),PHAEOPIGMENT 2 (ug/l),PHAEOPIGMENT avg (ug/l),PHAEOPIGMENT_FLAG,TA_UMOL_KG,TA_FLAG_W,DIC_UMOL_KG,DIC_FLAG_W,SECCHI DEPTH (m)
1,  TN395,"October 1, 2021",10:45:32,"October 1, 2021",3:45:32, 47 59.06 N, 122 37.22 W,47.98,122.62,7,1,2,90.60,89.82,10.13,,2,,32.01,32.01,2,,24.60,,4.49,4.74,4.61,2,,,,,,,,,7.69,,,,22.30,,,,,,,4.25,,,,,,,,,,,,,
2,  TN395,"October 1, 2021",10:45:44,"October 1, 2021",3:45:44, 47 59.06 N, 122 37.22 W,47.98,122.62,7,2,2,90.59,89.81,10.13,,2,,32.01,32.01,2,,24.60,,4.49,4.75,4.62,2,,4.87,4.87,,4.87,,2,,7.69,,,,22.30,27.22,0.37,0.86,2.33,38.37,2,4.13,,,,,,,,,,,,,
3,  TN395,"October 1, 2021",10:48:52,"October 1, 2021",3:48:52, 47 59.06 N, 122 37.22 W,47.98,122.62,7,3,2,50.69,50.26,11.83,,2,,30.88,30.88,2,,23.42,,5.44,5.77,5.61,2,,,,,,,,,7.76,,,,22.30,,,,,,,4.74,,,,,,,,,,,,,
4,  TN395,"October 1, 2021",10:49:00,"October 1, 2021",3:49:00, 47 59.06 N, 122 37.22 W,47.98,122.62,7,4,2,50.69,50.26,11.82,,2,,30.88,30.88,2,,23.43,,5.44,5.77,5.60,2,,5.62,,,5.62,,2,,7.76,,,,22.30,24.35,0.43,0.54,2.28,37.66,2,4.42,1.62,1.52,1.57,2,0.69,0.59,0.64,2,,,,,
5,  TN395,"October 1, 2021",10:50:50,"October 1, 2021",3:50:50, 47 59.06 N, 122 37.22 W,47.98,122.62,7,5,2,30.64,30.38,12.31,,2,,30.61,30.61,2,,23.13,,5.51,5.85,5.68,2,,,,,,,,,7.78,,,,22.30,,,,,,,4.00,,,,,,,,,,,,,
6,  TN395,"October 1, 2021",10:50:54,"October 1, 2021",3:50:54, 47 59.06 N, 122 37.22 W,47.98,122.62,7,6,2,30.65,30.39,12.31,,2,,30.61,30.61,2,,23.12,,5.52,5.87,5.69,2,,5.94,,,5.94,,2,,7.78,,,,22.30,23.81,0.42,0.18,2.29,37.66,2,4.08,1.35,1.35,1.35,2,0.52,0.51,0.51,2,,,,,
7,  TN395,"October 1, 2021",10:52:10,"October 1, 2021",3:52:10, 47 59.06 N, 122 37.22 W,47.98,122.62,7,7,2,20.38,20.21,12.68,,2,,30.52,30.52,2,,22.99,,5.57,5.91,5.74,2,,,,,,,,,7.79,,,,22.30,,,,,,,3.63,,,,,,,,,,,,,
8,  TN395,"October 1, 2021",10:52:17,"October 1, 2021",3:52:17, 47 59.06 N, 122 37.22 W,47.98,122.62,7,8,2,20.46,20.29,12.64,,2,,30.53,30.53,2,,23.00,,5.56,5.92,5.74,2,,6.12,,,6.12,,2,,7.79,,,,22.30,23.68,0.33,0.01,2.27,36.63,2,3.65,0.70,0.87,0.78,2,0.40,0.54,0.47,2,,,,,
9,  TN395,"October 1, 2021",10:53:37,"October 1, 2021",3:53:37, 47 59.06 N, 122 37.22 W,47.98,122.62,7,9,2,10.51,10.42,12.87,,2,,30.44,30.44,2,,22.89,,5.87,6.28,6.08,2,,,,,,,,,7.82,,,,22.30,,,,,,,4.64,,,,,,,,,,,,,
10,  TN395,"October 1, 2021",10:53:41,"October 1, 2021",3:53:41, 47 59.06 N, 122 37.22 W,47.98,122.62,7,10,2,10.55,10.46,12.87,,2,,30.44,30.44,2,,22.89,,5.74,6.08,5.91,2,,6.42,,,6.42,,2,,7.81,,,,22.30,23.10,0.38,0.01,2.25,36.08,2,4.11,0.02,0.03,0.03,2,2.12,1.16,1.64,2,,,,,
11,  TN395,"October 1, 2021",10:55:11,"October 1, 2021",3:55:11, 47 59.06 N, 122 37.22 W,47.98,122.62,7,11,2,4.99,4.95,12.87,,2,,30.42,30.42,2,,22.87,,5.90,6.27,6.09,2,,,,,,,,,7.82,,,,22.30,,,,,,,4.67,,,,,,,,,,,,,
12,  TN395,"October 1, 2021",10:55:18,"October 1, 2021",3:55:18, 47 59.06 N, 122 37.22 W,47.98,122.62,7,12,2,4.94,4.90,12.87,,2,,30.41,30.41,2,,22.86,,5.94,6.32,6.13,2,,6.49,,,6.49,,2,,7.83,,,,22.30,23.04,0.39,0.01,2.22,36.09,2,5.04,1.31,1.42,1.37,2,0.56,0.65,0.61,2,,,,,
13,  TN395,"October 1, 2021",10:57:10,"October 1, 2021",3:57:10, 47 59.06 N, 122 37.22 W,47.98,122.62,7,13,2,3.28,3.26,12.84,,2,,30.37,30.36,2,,22.84,,6.14,6.54,6.34,2,,,,,,,,,7.84,,,,22.30,,,,,,,5.72,,,,,,,,,,,,,
14,  TN395,"October 1, 2021",10:57:20,"October 1, 2021",3:57:20, 47 59.06 N, 122 37.22 W,47.98,122.62,7,14,2,3.23,3.20,12.85,,2,,30.37,30.37,2,,22.84,,6.07,6.45,6.26,2,,6.65,6.67,,6.66,,2,,7.84,,,,22.30,22.63,0.42,0.01,2.24,35.95,2,5.47,1.68,1.42,1.55,2,0.43,0.54,0.48,2,,,,,
15,  TN395,"September 27, 2021",15:49:15,"September 27, 2021",8:49:15, 47 58.85 N, 124 57.59 W,47.98,124.96,381,1,2,90.94,90.16,7.62,,2,,33.77,33.77,2,,26.36,,0.73,0.73,0.73,2,,0.72,,,0.72,,2,,7.47,,,,22.30,32.99,0.49,0.13,2.93,51.24,2,4.07,,,,,,,,,,,,,
16,  TN395,"September 27, 2021",15:50:36,"September 27, 2021",8:50:36, 47 58.85 N, 124 57.59 W,47.98,124.96,381,2,2,86.85,86.10,7.62,,2,,33.77,33.77,2,,26.36,,0.75,0.75,0.75,2,,,,,,,,,7.46,,,,22.30,,,,,,,3.52,,,,,,,,,,,,,
17,  TN395,"September 27, 2021",15:50:47,"September 27, 2021",8:50:47, 47 58.85 N, 124 57.59 W,47.98,124.96,381,3,2,85.29,84.56,7.62,,2,,33.77,33.76,2,,26.36,,0.75,0.75,0.75,2,,0.73,0.76,,0.75,,2,,7.46,,,,22.30,33.03,0.54,0.18,2.91,51.50,2,3.39,,,,,,,,,,,,,
18,  TN395,"September 27, 2021",15:52:27,"September 27, 2021",8:52:27, 47 58.85 N, 124 57.59 W,47.98,124.96,381,4,2,80.39,79.70,7.62,,2,,33.74,33.74,2,,26.34,,0.95,0.99,0.97,2,,,,,,,,,7.47,,,,22.30,,,,,,,2.86,,,,,,,,,,,,,
19,  TN395,"September 27, 2021",15:52:38,"September 27, 2021",8:52:38, 47 58.85 N, 124 57.59 W,47.98,124.96,381,5,2,82.11,81.41,7.62,,2,,33.75,33.75,2,,26.34,,0.94,0.96,0.95,2,,1.04,,,1.04,,2,,7.47,33.74,,,22.30,32.97,0.42,0.17,2.87,49.10,2,2.86,,,,,,,,,,,,,
20,  TN395,"September 27, 2021",15:55:01,"September 27, 2021",8:55:01, 47 58.85 N, 124 57.59 W,47.98,124.96,381,6,2,61.47,60.95,7.72,,2,,33.32,33.32,2,,26.00,,4.50,4.76,4.63,2,,,,,,,,,7.70,,,,22.30,,,,,,,2.00,,,,,,,,,,,,,
21,  TN395,"September 27, 2021",15:55:13,"September 27, 2021",8:55:13, 47 58.85 N, 124 57.59 W,47.98,124.96,381,7,2,61.12,60.60,7.72,,2,,33.31,33.31,2,,25.99,,4.45,4.72,4.58,2,,4.89,4.88,,4.89,,2,,7.70,,,,22.30,27.07,0.06,0.04,2.01,26.04,2,2.03,,,,,,,,,,,,,
22,  TN395,"September 27, 2021",15:57:06,"September 27, 2021",8:57:06, 47 58.85 N, 124 57.59 W,47.98,124.96,381,8,2,51.35,50.91,7.72,,2,,33.21,33.20,2,,25.91,,4.86,5.16,5.01,2,,,,,,,,,7.74,,,,22.30,,,,,,,2.05,,,,,,,,,,,,,
23,  TN395,"September 27, 2021",15:57:14,"September 27, 2021",8:57:14, 47 58.85 N, 124 57.59 W,47.98,124.96,381,9,2,50.69,50.26,7.72,,2,,33.21,33.21,2,,25.91,,4.86,5.16,5.01,2,,5.31,,,5.31,,2,,7.74,,,,22.30,25.72,0.04,0.04,1.92,24.11,2,2.03,0.01,0.01,0.01,2,0.00,0.01,0.01,2,,,,,
24,  TN395,"September 27, 2021",15:58:36,"September 27, 2021",8:58:36, 47 58.85 N, 124 57.59 W,47.98,124.96,381,10,2,45.72,45.33,7.76,,2,,32.99,32.99,2,,25.73,,5.58,5.93,5.75,2,,,,,,,,,7.78,,,,22.30,,,,,,,2.08,,,,,,,,,,,,,
25,  TN395,"September 27, 2021",15:58:43,"September 27, 2021",8:58:43, 47 58.85 N, 124 57.59 W,47.98,124.96,381,11,2,44.08,43.70,7.76,,2,,32.98,32.98,2,,25.72,,5.60,5.93,5.77,2,,6.09,6.07,,6.08,,2,,7.78,,,,22.30,23.11,0.07,0.03,1.78,20.89,2,2.04,,,,,,,,,,,,,
26,  TN395,"September 27, 2021",16:00:09,"September 27, 2021",9:00:09, 47 58.85 N, 124 57.59 W,47.98,124.96,381,12,2,39.93,39.59,7.83,,2,,32.87,32.87,2,,25.62,,5.90,6.26,6.08,2,,,,,,,,,7.81,,,,22.30,,,,,,,2.16,,,,,,,,,,,,,
27,  TN395,"September 27, 2021",16:00:18,"September 27, 2021",9:00:18, 47 58.85 N, 124 57.59 W,47.98,124.96,381,13,2,40.01,39.67,7.83,,2,,32.86,32.86,2,,25.62,,5.86,6.23,6.04,2,,6.44,,,6.44,,2,,7.81,,,,22.30,21.96,0.10,0.02,1.72,19.50,2,2.11,,,,,,,,,,,,,
28,  TN395,"September 27, 2021",16:02:04,"September 27, 2021",9:02:04, 47 58.85 N, 124 57.59 W,47.98,124.96,381,14,2,29.55,29.30,8.55,,2,,32.63,32.63,2,,25.33,,5.66,5.94,5.80,2,,,,,,,,,7.81,,,,22.30,,,,,,,2.69,,,,,,,,,,,,,
29,  TN395,"September 27, 2021",16:02:10,"September 27, 2021",9:02:10, 47 58.85 N, 124 57.59 W,47.98,124.96,381,15,2,30.90,30.64,8.35,,2,,32.64,32.64,2,,25.37,,5.69,6.08,5.88,2,,6.06,,,6.06,,2,,7.82,,,,22.30,22.77,0.32,0.18,1.83,23.13,2,2.51,0.00,,0.00,2,0.08,,0.08,2,,,,,
30,  TN395,"September 27, 2021",16:03:08,"September 27, 2021",9:03:08, 47 58.85 N, 124 57.59 W,47.98,124.96,381,16,2,25.02,24.81,8.85,,2,,32.62,32.62,2,,25.28,,5.42,5.71,5.57,2,,,,,,,,,7.80,,,,22.30,,,,,,,3.15,,,,,,,,,,,,,
31,  TN395,"September 27, 2021",16:03:20,"September 27, 2021",9:03:20, 47 58.85 N, 124 57.59 W,47.98,124.96,381,17,2,25.99,25.77,8.88,,2,,32.61,32.61,2,,25.27,,5.37,5.70,5.54,2,,5.76,5.79,,5.77,,2,,7.80,32.62,,,22.30,23.26,0.35,0.34,1.89,25.14,2,3.39,,,,,,,,,,,,,
32,  TN395,"September 27, 2021",16:04:43,"September 27, 2021",9:04:43, 47 58.85 N, 124 57.59 W,47.98,124.96,381,18,2,20.66,20.49,11.44,,2,,32.15,32.16,2,,24.48,,6.81,7.27,7.04,2,,,,,,,,,7.95,,,,22.30,,,,,,,7.58,,,,,,,,,,,,,
33,  TN395,"September 27, 2021",16:04:56,"September 27, 2021",9:04:56, 47 58.85 N, 124 57.59 W,47.98,124.96,381,19,2,20.07,19.90,11.51,,2,,32.13,32.13,2,,24.45,,6.76,7.25,7.01,2,,7.55,,,7.55,,2,,7.95,,,,22.30,12.86,0.31,0.62,1.26,16.96,2,8.39,1.04,1.02,1.03,2,0.58,0.45,0.51,2,,,,,
34,  TN395,"September 27, 2021",16:06:25,"September 27, 2021",9:06:25, 47 58.85 N, 124 57.59 W,47.98,124.96,381,20,2,9.27,9.19,12.40,,2,,31.92,31.92,2,,24.12,,7.61,8.12,7.86,2,,8.34,,,8.34,,2,,8.04,,,,22.30,9.01,0.30,0.58,1.03,13.17,2,9.27,1.31,1.40,1.36,2,0.73,0.66,0.69,2,,,,,
35,  TN395,"September 27, 2021",16:07:35,"September 27, 2021",9:07:35, 47 58.85 N, 124 57.59 W,47.98,124.96,381,21,2,5.36,5.31,12.39,,2,,31.92,31.92,2,,24.13,,7.58,8.09,7.83,2,,,,,,,,,8.05,,,,22.30,,,,,,,9.10,,,,,,,,,,,,,
36,  TN395,"September 27, 2021",16:07:45,"September 27, 2021",9:07:45, 47 58.85 N, 124 57.59 W,47.98,124.96,381,22,2,5.40,5.36,12.39,,2,,31.92,31.92,2,,24.12,,7.57,8.09,7.83,2,,8.30,,,8.30,,2,,8.05,,,,22.30,9.21,0.29,0.58,1.02,13.51,2,9.12,1.36,1.34,1.35,2,0.73,0.69,0.71,2,,,,,
37,  TN395,"September 27, 2021",16:08:16,"September 27, 2021",9:08:16, 47 58.85 N, 124 57.59 W,47.98,124.96,381,23,2,3.80,3.77,12.39,,2,,31.92,31.92,2,,24.12,,7.57,8.06,7.82,2,,,,,,,,,8.05,,,,22.30,,,,,,,9.17,,,,,,,,,,,,,
38,  TN395,"September 27, 2021",16:08:23,"September 27, 2021",9:08:23, 47 58.85 N, 124 57.59 W,47.98,124.96,381,24,2,3.89,3.85,12.39,,2,,31.92,31.92,2,,24.12,,7.57,8.09,7.83,2,,8.27,8.28,,8.28,,2,,8.05,31.93,,,22.30,9.24,0.28,0.56,1.04,13.47,2,9.11,1.24,1.33,1.28,2,0.68,0.75,0.71,2,,,,,
39,  TN395,"September 29, 2021",4:23:20,"September 28, 2021",21:23:20, 48 16.02 N, 125 00.95 W,48.27,125.02,105,1,2,326.70,323.69,7.13,,2,,33.95,33.95,2,,26.58,,1.61,1.66,1.63,2,,1.71,1.70,,1.70,,2,,7.56,33.95,,,22.30,36.35,0.10,0.10,2.70,47.21,2,2.05,,,,,,,,,,,,,
40,  TN395,"September 29, 2021",4:26:09,"September 28, 2021",21:26:09, 48 16.02 N, 125 00.95 W,48.27,125.02,105,2,2,252.56,250.28,7.21,,2,,33.92,33.92,2,,26.54,,1.56,1.62,1.59,2,,1.63,,,1.63,,2,,7.55,,,,22.30,36.35,0.05,0.04,2.68,45.82,2,2.04,,,,,,,,,,,,,
41,  TN395,"September 29, 2021",4:29:06,"September 28, 2021",21:29:06, 48 16.02 N, 125 00.95 W,48.27,125.02,105,3,2,172.02,170.50,7.35,,2,,33.91,33.91,2,,26.51,,1.49,1.55,1.52,2,,1.58,1.57,,1.57,,2,,7.55,33.91,,,22.30,35.66,0.04,0.03,2.69,45.45,2,2.05,,,,,,,,,,,,,
42,  TN395,"September 29, 2021",4:31:40,"September 28, 2021",21:31:40, 48 16.02 N, 125 00.95 W,48.27,125.02,105,4,2,119.53,118.49,7.59,,2,,33.85,33.85,2,,26.43,,1.69,1.75,1.72,2,,,,,,,,,7.56,,,,22.30,34.12,0.06,0.06,2.66,44.00,2,2.08,,,,,,,,,,,,,
43,  TN395,"September 29, 2021",4:31:46,"September 28, 2021",21:31:46, 48 16.02 N, 125 00.95 W,48.27,125.02,105,5,2,121.76,120.70,7.59,,2,,33.85,33.86,2,,26.44,,1.68,1.75,1.72,2,,1.80,,,1.80,,2,,7.56,,,,22.30,,,,,,,2.08,,,,,,,,,,,,,
44,  TN395,"September 29, 2021",4:33:59,"September 28, 2021",21:33:59, 48 16.02 N, 125 00.95 W,48.27,125.02,105,6,2,80.42,79.73,7.91,,2,,33.62,33.62,2,,26.20,,3.85,4.07,3.96,2,,4.25,4.27,,4.26,,2,,7.70,33.62,,,22.30,29.13,0.08,0.07,2.10,27.90,2,2.00,,,,,,,,,,,,,
45,  TN395,"September 29, 2021",4:36:01,"September 28, 2021",21:36:01, 48 16.02 N, 125 00.95 W,48.27,125.02,105,7,2,50.08,49.65,8.11,,2,,33.01,33.01,2,,25.69,,4.84,5.13,4.99,2,,5.24,5.23,,5.24,,2,,7.76,33.01,,,22.30,26.48,0.18,0.17,2.01,26.77,2,2.26,0.14,0.10,0.12,2,0.18,0.17,0.17,2,,,,,
46,  TN395,"September 29, 2021",4:38:02,"September 28, 2021",21:38:02, 48 16.02 N, 125 00.95 W,48.27,125.02,105,8,2,30.04,29.79,9.55,,2,,32.92,32.92,2,,25.40,,4.67,4.95,4.81,2,,5.10,,,5.10,,2,,7.74,,,,22.30,28.14,0.40,0.94,2.20,33.74,2,2.98,0.29,0.27,0.28,2,0.31,0.33,0.32,2,,,,,
47,  TN395,"September 29, 2021",4:39:54,"September 28, 2021",21:39:54, 48 16.02 N, 125 00.95 W,48.27,125.02,105,9,2,20.20,20.03,11.94,,2,,32.39,32.38,2,,24.57,,7.58,8.04,7.81,2,,7.57,7.58,,7.57,,2,,7.99,32.54,,,22.30,16.89,0.34,1.34,1.50,22.78,2,13.04,1.32,1.39,1.36,2,0.61,0.62,0.62,2,,,,,
48,  TN395,"September 29, 2021",4:41:30,"September 28, 2021",21:41:30, 48 16.02 N, 125 00.95 W,48.27,125.02,105,10,2,9.67,9.58,12.52,,2,,32.24,32.24,2,,24.35,,8.21,8.75,8.48,2,,8.98,,,8.98,,2,,8.09,,,,22.30,9.74,0.23,0.58,0.98,15.26,2,17.37,2.49,2.38,2.44,2,0.93,1.03,0.98,2,,,,,
49,  TN395,"September 29, 2021",4:43:02,"September 28, 2021",21:43:02, 48 16.02 N, 125 00.95 W,48.27,125.02,105,11,2,4.94,4.90,12.55,,2,,32.23,32.23,2,,24.33,,8.25,8.79,8.52,2,,9.01,,,9.01,,2,,8.10,,,,22.30,9.73,0.23,0.55,0.98,15.35,2,16.31,2.59,2.63,2.61,2,0.82,0.76,0.79,2,,,,,
